url,breakpoints,check,level,node,detail,sample,acknowledged_because
https://mosaic.moksaweb.com/moksa/,"_,_t,_m",DECORATIVE_TEXT,ack,mk-code-c1-l1::after,"1.46:1 - drawn by CSS content, so it is out of the accessibility tree and exempt, but it IS visible","  className=\""grid gap-6","The hero's code layer. Drawn by CSS `content` so it is not in the accessibility tree, and WCAG 1.4.3 exempts incidental text that is part of a picture with other significant visual content. Measured at 1.46:1 under the headline and 2.71:1 to the right; raising it to 4.5:1 would make the background a foreground. The lede and the spec column carry their own paper so no real content is ever read against it."
https://mosaic.moksaweb.com/moksa/,"_,_t,_m",DECORATIVE_TEXT,ack,mk-code-c1-l2::after,"1.46:1 - drawn by CSS content, so it is out of the accessibility tree and exempt, but it IS visible",             md:grid-cols-3\,"The hero's code layer. Drawn by CSS `content` so it is not in the accessibility tree, and WCAG 1.4.3 exempts incidental text that is part of a picture with other significant visual content. Measured at 1.46:1 under the headline and 2.71:1 to the right; raising it to 4.5:1 would make the background a foreground. The lede and the spec column carry their own paper so no real content is ever read against it."
https://mosaic.moksaweb.com/moksa/,"_,_t,_m",DECORATIVE_TEXT,ack,mk-code-c1-l3::after,"1.46:1 - drawn by CSS content, so it is out of the accessibility tree and exempt, but it IS visible",  <Card {...order} />,"The hero's code layer. Drawn by CSS `content` so it is not in the accessibility tree, and WCAG 1.4.3 exempts incidental text that is part of a picture with other significant visual content. Measured at 1.46:1 under the headline and 2.71:1 to the right; raising it to 4.5:1 would make the background a foreground. The lede and the spec column carry their own paper so no real content is ever read against it."
https://mosaic.moksaweb.com/moksa/,"_,_t,_m",DECORATIVE_TEXT,ack,mk-code-c1-l4::after,"1.46:1 - drawn by CSS content, so it is out of the accessibility tree and exempt, but it IS visible",</section>,"The hero's code layer. Drawn by CSS `content` so it is not in the accessibility tree, and WCAG 1.4.3 exempts incidental text that is part of a picture with other significant visual content. Measured at 1.46:1 under the headline and 2.71:1 to the right; raising it to 4.5:1 would make the background a foreground. The lede and the spec column carry their own paper so no real content is ever read against it."
https://mosaic.moksaweb.com/moksa/,"_,_t,_m",DECORATIVE_TEXT,ack,mk-code-c2-h::after,"2.71:1 - drawn by CSS content, so it is out of the accessibility tree and exempt, but it IS visible",VITE,"The hero's code layer. Drawn by CSS `content` so it is not in the accessibility tree, and WCAG 1.4.3 exempts incidental text that is part of a picture with other significant visual content. Measured at 1.46:1 under the headline and 2.71:1 to the right; raising it to 4.5:1 would make the background a foreground. The lede and the spec column carry their own paper so no real content is ever read against it."
https://mosaic.moksaweb.com/moksa/,"_,_t,_m",DECORATIVE_TEXT,ack,mk-code-c2-l0::after,"1.46:1 - drawn by CSS content, so it is out of the accessibility tree and exempt, but it IS visible",export default defineConfig(,"The hero's code layer. Drawn by CSS `content` so it is not in the accessibility tree, and WCAG 1.4.3 exempts incidental text that is part of a picture with other significant visual content. Measured at 1.46:1 under the headline and 2.71:1 to the right; raising it to 4.5:1 would make the background a foreground. The lede and the spec column carry their own paper so no real content is ever read against it."
https://mosaic.moksaweb.com/moksa/,"_,_t,_m",DECORATIVE_TEXT,ack,mk-code-c2-l1::after,"1.46:1 - drawn by CSS content, so it is out of the accessibility tree and exempt, but it IS visible","  plugins: [react()],","The hero's code layer. Drawn by CSS `content` so it is not in the accessibility tree, and WCAG 1.4.3 exempts incidental text that is part of a picture with other significant visual content. Measured at 1.46:1 under the headline and 2.71:1 to the right; raising it to 4.5:1 would make the background a foreground. The lede and the spec column carry their own paper so no real content is ever read against it."
https://mosaic.moksaweb.com/moksa/,"_,_t,_m",DECORATIVE_TEXT,ack,mk-code-c2-l2::after,"1.46:1 - drawn by CSS content, so it is out of the accessibility tree and exempt, but it IS visible",  build: { target: 'es2022' ,"The hero's code layer. Drawn by CSS `content` so it is not in the accessibility tree, and WCAG 1.4.3 exempts incidental text that is part of a picture with other significant visual content. Measured at 1.46:1 under the headline and 2.71:1 to the right; raising it to 4.5:1 would make the background a foreground. The lede and the spec column carry their own paper so no real content is ever read against it."
https://mosaic.moksaweb.com/moksa/,"_,_t,_m",DECORATIVE_TEXT,ack,mk-code-c2-l3::after,"1.46:1 - drawn by CSS content, so it is out of the accessibility tree and exempt, but it IS visible","  server: { port: 5173 },","The hero's code layer. Drawn by CSS `content` so it is not in the accessibility tree, and WCAG 1.4.3 exempts incidental text that is part of a picture with other significant visual content. Measured at 1.46:1 under the headline and 2.71:1 to the right; raising it to 4.5:1 would make the background a foreground. The lede and the spec column carry their own paper so no real content is ever read against it."
https://mosaic.moksaweb.com/moksa/,"_,_t,_m",DECORATIVE_TEXT,ack,mk-code-c2-l4::after,"1.46:1 - drawn by CSS content, so it is out of the accessibility tree and exempt, but it IS visible",}),"The hero's code layer. Drawn by CSS `content` so it is not in the accessibility tree, and WCAG 1.4.3 exempts incidental text that is part of a picture with other significant visual content. Measured at 1.46:1 under the headline and 2.71:1 to the right; raising it to 4.5:1 would make the background a foreground. The lede and the spec column carry their own paper so no real content is ever read against it."
https://mosaic.moksaweb.com/moksa/,"_,_t,_m",DECORATIVE_TEXT,ack,mk-code-c3-h::after,"2.71:1 - drawn by CSS content, so it is out of the accessibility tree and exempt, but it IS visible",JS,"The hero's code layer. Drawn by CSS `content` so it is not in the accessibility tree, and WCAG 1.4.3 exempts incidental text that is part of a picture with other significant visual content. Measured at 1.46:1 under the headline and 2.71:1 to the right; raising it to 4.5:1 would make the background a foreground. The lede and the spec column carry their own paper so no real content is ever read against it."
https://mosaic.moksaweb.com/moksa/,"_,_t,_m",DECORATIVE_TEXT,ack,mk-code-c3-l0::after,"1.46:1 - drawn by CSS content, so it is out of the accessibility tree and exempt, but it IS visible",const o = await prisma.order,"The hero's code layer. Drawn by CSS `content` so it is not in the accessibility tree, and WCAG 1.4.3 exempts incidental text that is part of a picture with other significant visual content. Measured at 1.46:1 under the headline and 2.71:1 to the right; raising it to 4.5:1 would make the background a foreground. The lede and the spec column carry their own paper so no real content is ever read against it."
https://mosaic.moksaweb.com/moksa/,"_,_t,_m",DECORATIVE_TEXT,ack,mk-code-c3-l1::after,"1.46:1 - drawn by CSS content, so it is out of the accessibility tree and exempt, but it IS visible",  .findUnique({ where: { id ,"The hero's code layer. Drawn by CSS `content` so it is not in the accessibility tree, and WCAG 1.4.3 exempts incidental text that is part of a picture with other significant visual content. Measured at 1.46:1 under the headline and 2.71:1 to the right; raising it to 4.5:1 would make the background a foreground. The lede and the spec column carry their own paper so no real content is ever read against it."
https://mosaic.moksaweb.com/moksa/,"_,_t,_m",DECORATIVE_TEXT,ack,mk-code-c3-l2::after,"1.46:1 - drawn by CSS content, so it is out of the accessibility tree and exempt, but it IS visible",await n8n.trigger('order.pai,"The hero's code layer. Drawn by CSS `content` so it is not in the accessibility tree, and WCAG 1.4.3 exempts incidental text that is part of a picture with other significant visual content. Measured at 1.46:1 under the headline and 2.71:1 to the right; raising it to 4.5:1 would make the background a foreground. The lede and the spec column carry their own paper so no real content is ever read against it."
https://mosaic.moksaweb.com/moksa/,"_,_t,_m",DECORATIVE_TEXT,ack,mk-code-c3-l3::after,"1.46:1 - drawn by CSS content, so it is out of the accessibility tree and exempt, but it IS visible",await line.push(o.customerId,"The hero's code layer. Drawn by CSS `content` so it is not in the accessibility tree, and WCAG 1.4.3 exempts incidental text that is part of a picture with other significant visual content. Measured at 1.46:1 under the headline and 2.71:1 to the right; raising it to 4.5:1 would make the background a foreground. The lede and the spec column carry their own paper so no real content is ever read against it."
https://mosaic.moksaweb.com/moksa/,"_,_t,_m",DECORATIVE_TEXT,ack,mk-code-c3-l4::after,"1.46:1 - drawn by CSS content, so it is out of the accessibility tree and exempt, but it IS visible",await ecpay.issue(o),"The hero's code layer. Drawn by CSS `content` so it is not in the accessibility tree, and WCAG 1.4.3 exempts incidental text that is part of a picture with other significant visual content. Measured at 1.46:1 under the headline and 2.71:1 to the right; raising it to 4.5:1 would make the background a foreground. The lede and the spec column carry their own paper so no real content is ever read against it."
